Part,Value,Device,Package,Description,DIST,DIST_ID
C1,0.1uF,CAP0805,0805,Capacitor,DIGIKEY,
C2,1uF,CAP0805,0805,Capacitor,DIGIKEY,
C3,0.1uF,CAP0805,0805,Capacitor,DIGIKEY,
C4,0.1uF,CAP0805,0805,Capacitor,DIGIKEY,
C5,1uF,CAP0805,0805,Capacitor,DIGIKEY,
C6,1uF,CAP0805,0805,Capacitor,DIGIKEY,
C7,1uF,CAP0805,0805,Capacitor,DIGIKEY,
C8,10uF,CAP0805,0805,Capacitor,DIGIKEY,
C9,1000uF,CAP_POLG,PANASONIC_G,Capacitor Polarized,DIGIKEY,P15087CT-ND
C10,10uF,CAP0805,0805,Capacitor,DIGIKEY,SRN4026-100MCT-ND
D1,Diode,DIODE-BAS16J,SOD-323,DIODE SCHOTTKY 40V 1A SOD323A,DIGIKEY,893-1188-1-ND
F1,1.5A - SLOW BLOW,Fuse,1206,FUSE BRD MNT 1.5A 63VAC/VDC 1206,DIGIKEY,F2569CT-ND
F2,500mA - FAST BLOW,Fuse,1206,FUSE BOARD MOUNT 500MA 63VAC/VDC,DIGIKEY,F3156CT-ND
F3,500mA - FAST BLOW,Fuse,1206,FUSE BOARD MOUNT 500MA 63VAC/VDC,DIGIKEY,F3156CT-ND
G1,D5V0L4B5TS,D5V0L4B5TS,SOT-23-5,4 CHANNEL LOW CAPACITANCE BI-DIRECTIONAL TVS ARRAY,DIGIKEY,D5V0L4B5TS-7DICT-ND
G2,D5V0L4B5TS,D5V0L4B5TS,SOT-23-5,4 CHANNEL LOW CAPACITANCE BI-DIRECTIONAL TVS ARRAY,DIGIKEY,D5V0L4B5TS-7DICT-ND
IC1,NAND,4093DT,MC14093B-TSSOP14,Quad 2-input NAND schmitt trigger,DIGIKEY,
J1,Analog/Digital IO,"0.1"" Male Header",2X3,Header,DIGIKEY,
J2,Analog/Digital IO,"0.1"" Male Header",2X3,Header,DIGIKEY,
J3,Serial Header,"0.1"" Male Header",1X02,Header,DIGIKEY,
J4,5V @ 2A,JST_2MM_MALE,JST-2-SMD,JST 2MM MALE RA CONNECTOR,DIGIKEY,455-1749-1-ND
J5,LiPo Connector,JST_2MM_MALE,JST-2-SMD,JST 2MM MALE RA CONNECTOR,DIGIKEY,455-1749-1-ND
JP1,i2c Header,"0.1"" Male Header",1X06_LOCK,Header,DIGIKEY,
JP2,i2c Header,"0.1"" Male Header",1X06_LOCK,Header,DIGIKEY,
L1,10uH,INDUCTORSDR0403-560KL,SDR0403,Inductors,DIGIKEY,SDR0403-560KLCT-ND
Q1,MMBT2222A,TRANS_NPN-MMBT2222AL,SOT23-3,NPN transistor,DIGIKEY,MMBT2222ALT1GOSCT-ND
R1,33k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R2,68k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R3,100k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R4,100k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R5,10k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R6,4.7k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R7,4.7k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R8,4.7k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R9,4.7k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R10,1k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R11,100k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R12,100,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R13,100k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R14,100k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R15,150k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R16,150k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R17,1.620M,125mW 1% Resistor,0805,Resistor,DIGIKEY,
R18,180k,125mW 1% Resistor,0805,Resistor,DIGIKEY,
S1,User Switch,10-XX,B3F-1070,OMRON SWITCH,DIGIKEY,SW406-ND
S2,Power Switch,40-XX-ROUND,B3F-40XX-ROUND,OMRON SWITCH,DIGIKEY,SW411-ND
U1,TMP36GRTZ,TMP36GRTZ-REEL7,SOT-23-5,SENSOR TEMP ANLG VOLT SOT-23-5,DIGIKEY,TMP36GRTZ-REEL7TR-ND
U2,TPL5010,TPL5010,TSOT-23,Watchdog Timer Chip,DIGIKEY,296-44392-1-ND
U3,MB85RC256,MB85RC128PNF-G-JNE1,SOIC127P600X175-8N,Memory FRAM,DIGIKEY,865-1261-1-ND
U4,Particle Electron,ELECTRON-PWR-PINS,ELECTON-PWR-PINS,This is a Electron pinout with the two power pins populated,DIGIKEY,
U5,TPS27082,TPS27082,TSOT-23,TI TPS27082 Single High-Side On-Off Switch,DIGIKEY,
U6,TPS27082,TPS27082,TSOT-23,TI TPS27082 Single High-Side On-Off Switch,DIGIKEY,
U7,TPS61070DDCR,TPS61070DDCR,TSOT-23-6,SYNCHRONOUS BOOST CONVERTER,DIGIKEY,296-21523-1-ND
V1,VC080505C150DP ,VARISTOR,0805,VARISTOR 8.5V 120A 0805,DIGIKEY,478-2507-1-ND
V2,VC080505C150DP ,VARISTOR,0805,VARISTOR 8.5V 120A 0805,DIGIKEY,478-2507-1-ND
V3,VC080505C150DP ,VARISTOR,0805,VARISTOR 8.5V 120A 0805,DIGIKEY,478-2507-1-ND
